Speaker,Language,File,Word,Consonant,VOT
ferfulice_1,Eng,20325,piggies,p,0.06253651916308206
ferfulice_1,Eng,20325,pasta,p,0.097232220417300258
ferfulice_1,Eng,20709,peepee,p,0.026417419036514761
ferfulice_1,Eng,20325,be,b,0.021525119931237346
ferfulice_1,Eng,20325,bear,b,0.029778510993662355
ferfulice_1,Eng,20709,birthday,b,0.020663356969563583
ferfulice_1,Eng,20325,dance,d,0.024172918401961601
ferfulice_1,Eng,20325,down,d,0.026823755277745401
ferfulice_1,Eng,20709,devon,d,0.017079987931559681
ferfulice_1,Eng,,,t
ferfulice_1,Eng,,,t
ferfulice_1,Eng,,,t
ferfulice_1,Eng,20325,gee,g,0.033585830460755195
ferfulice_1,Eng,20709,go,g,0.025827170967199997
ferfulice_1,Eng,20709,gone,g,0.037244640990170191
ferfulice_1,Eng,20325,cow,k,0.08224273991754627
ferfulice_1,Eng,,,k
ferfulice_1,Eng,,,k
